Tarih;Saat;Hesap;Tür;Kategori;Açıklama;Tutar
09.09.2025;09:15;Kasa;Giriş;Satış Tahsilatı;A. Yılmaz'a 22A bilezik satışı - nakit;25400.00
09.09.2025;09:45;Banka — VakıfBank;Giriş;Müşteri Ödemesi;M. Demir'den havale - borç kapat;18750.00
09.09.2025;10:30;Kasa;Giriş;Satış Tahsilatı;Z. Arslan'a küpe seti - kart;45900.00
09.09.2025;11:20;Banka — Ziraat;Giriş;Müşteri Ödemesi;E. Korkmaz'dan EFT - altın borç;32500.00
09.09.2025;12:10;Kasa;Çıkış;Masraf;Kırtasiye malzemeleri;-850.00
09.09.2025;13:45;Banka — VakıfBank;Çıkış;Tedarikçi Ödemesi;Altın tedarikçisi faturası;-67300.00
09.09.2025;14:20;Kasa;Giriş;Satış Tahsilatı;İ. Şahin'e kolye - nakit;28600.00
09.09.2025;15:05;Banka — Ziraat;Çıkış;Masraf;Mağaza kirası ödemesi;-15500.00
09.09.2025;15:40;Kasa;Giriş;Satış Tahsilatı;B. Aydın'a gram altın - kart;12300.00
09.09.2025;16:15;Kasa;Çıkış;Masraf;Çay/kahve ikramı;-120.00
09.09.2025;16:45;Banka — VakıfBank;Giriş;Müşteri Ödemesi;C. Özkan'dan havale - borç kapat;9200.00
09.09.2025;17:20;Kasa;Çıkış;Tedarikçi Ödemesi;Gümüş tedarikçisi ödemesi;-8900.00
08.09.2025;16:30;Banka — Ziraat;Giriş;Satış Tahsilatı;Dünkü satışlardan havale;55200.00
08.09.2025;14:15;Kasa;Çıkış;Masraf;Elektrik faturası;-2450.00
08.09.2025;11:50;Banka — VakıfBank;Çıkış;Tedarikçi Ödemesi;Altın külçe tedarikçisi;-89400.00
